seed,lambda,status,optimal,failed_stage,runtime_s,planned_cash,initial_realized_cash,recommended_revised_cash,final_realized_cash,final_vs_planned_ratio,changed_soft_area,soft_lock_area,disruption_rate
57684,0.5,Optimal,True,,33.768567299994174,11768765.0,9892202.0,11528045.0,11404727.0,0.9690674425056495,0.5,77.8,0.006426735218508998
57684,1.0,Optimal,True,,32.035382000001846,11768765.0,9892202.0,11480677.0,11357359.0,0.9650425511937744,0.0,77.8,0.0
621609,0.0,Infeasible,False,proposed.reopt_phase3,11.918784199981019,,,,,,,,
621609,0.05,Infeasible,False,proposed.reopt_phase3,11.882910700020147,,,,,,,,
621609,0.1,Infeasible,False,proposed.reopt_phase3,11.83037239999976,,,,,,,,
621609,0.25,Infeasible,False,proposed.reopt_phase3,12.359065699973144,,,,,,,,
621609,0.5,Infeasible,False,proposed.reopt_phase3,12.684380699996836,,,,,,,,
621609,1.0,Infeasible,False,proposed.reopt_phase3,13.483894200006034,,,,,,,,
627177,0.0,Infeasible,False,proposed.reopt_phase3,10.301578599988716,,,,,,,,
627177,0.05,Infeasible,False,proposed.reopt_phase3,10.635544499993557,,,,,,,,
627177,0.1,Infeasible,False,proposed.reopt_phase3,10.525873900012812,,,,,,,,
627177,0.25,Infeasible,False,proposed.reopt_phase3,10.363609299995005,,,,,,,,
627177,0.5,Infeasible,False,proposed.reopt_phase3,10.48853770000278,,,,,,,,
627177,1.0,Infeasible,False,proposed.reopt_phase3,10.47484660000191,,,,,,,,
637394,0.0,Optimal,True,,13.82148210000014,12885185.0,10076401.0,11203233.0,11145224.0,0.8649642205369965,4.3,88.8,0.04842342342342342
637394,0.05,Optimal,True,,13.25480689998949,12885185.0,10076401.0,11198084.0,11140075.0,0.8645646143225728,2.5,88.8,0.028153153153153154
637394,0.1,Optimal,True,,13.391476799995871,12885185.0,10076401.0,11198084.0,11140075.0,0.8645646143225728,2.5,88.8,0.028153153153153154
637394,0.25,Optimal,True,,13.6137066000083,12885185.0,10076401.0,11160223.0,11102214.0,0.8616262785516855,0.7,88.8,0.007882882882882882
637394,0.5,Optimal,True,,14.557539400004316,12885185.0,10076401.0,11160223.0,11102214.0,0.8616262785516855,0.7,88.8,0.007882882882882882
637394,1.0,Optimal,True,,13.427269299980253,12885185.0,10076401.0,11146610.0,11088601.0,0.860569793914484,0.5,88.8,0.005630630630630631
651976,0.0,Optimal,True,,14.401406799996039,14283115.0,12319403.0,13519133.0,13169852.0,0.9220574083454485,5.1,86.7,0.0588235294117647
651976,0.05,Optimal,True,,15.00926319998689,14283115.0,12319403.0,13506608.0,13157811.0,0.921214384957343,1.6,86.7,0.01845444059976932
651976,0.1,Optimal,True,,14.484018700022716,14283115.0,12319403.0,13506608.0,13157811.0,0.921214384957343,1.6,86.7,0.01845444059976932
651976,0.25,Optimal,True,,14.40357190000941,14283115.0,12319403.0,13473688.0,13132342.0,0.9194312305123917,0.7,86.7,0.008073817762399077
651976,0.5,Optimal,True,,14.368907099997159,14283115.0,12319403.0,13466316.0,13124970.0,0.9189150966018267,0.6,86.7,0.006920415224913494
651976,1.0,Optimal,True,,14.598148299992317,14283115.0,12319403.0,13401270.0,13059924.0,0.9143610479926823,0.0,86.7,0.0
65693,0.0,Optimal,True,,34.21185870000045,11317399.0,9278817.0,10118314.0,10036794.0,0.8868463504732845,2.4,72.4,0.03314917127071823
65693,0.05,Optimal,True,,34.59749159999774,11317399.0,9278817.0,10113404.0,10034080.0,0.8866065427224047,0.9,72.4,0.012430939226519336
65693,0.1,Optimal,True,,34.335992000007536,11317399.0,9278817.0,10113404.0,10034080.0,0.8866065427224047,0.9,72.4,0.012430939226519336
65693,0.25,Optimal,True,,17.0588146999944,11317399.0,9278817.0,10100987.0,10021663.0,0.8855093825003431,0.4,72.4,0.0055248618784530384
65693,0.5,Optimal,True,,29.28348919999553,11317399.0,9278817.0,10083853.0,10044386.0,0.8875171759871681,0.2,72.4,0.0027624309392265192
65693,1.0,Optimal,True,,34.1793641000113,11317399.0,9278817.0,10071983.0,10032516.0,0.8864683484252874,0.0,72.4,0.0
679242,0.0,Optimal,True,,14.172262499982025,13159072.0,11127309.0,12091965.0,11790471.0,0.8959956294790392,5.9,69.5,0.08489208633093526
679242,0.05,Optimal,True,,14.307575600018026,13159072.0,11127309.0,12079134.0,11787450.0,0.8957660540196147,2.2,69.5,0.031654676258992806
679242,0.1,Optimal,True,,14.05688519999967,13159072.0,11127309.0,12079134.0,11787450.0,0.8957660540196147,2.2,69.5,0.031654676258992806
679242,0.25,Optimal,True,,14.038015600002836,13159072.0,11127309.0,12023471.0,11731787.0,0.8915360444870276,0.0,69.5,0.0
679242,0.5,Optimal,True,,14.103582100011408,13159072.0,11127309.0,12023471.0,11731787.0,0.8915360444870276,0.0,69.5,0.0
679242,1.0,Optimal,True,,14.039023099991027,13159072.0,11127309.0,12023471.0,11731787.0,0.8915360444870276,0.0,69.5,0.0
720982,0.0,Optimal,True,,13.368551099993056,12139025.0,10811387.0,11670014.0,11501423.0,0.9474750237354318,6.7,113.6,0.058978873239436624
720982,0.05,Optimal,True,,13.56530760001624,12139025.0,10811387.0,11655565.0,11505011.0,0.9477705993685654,2.0,113.6,0.017605633802816902
720982,0.1,Optimal,True,,13.805820400011726,12139025.0,10811387.0,11649865.0,11499311.0,0.9473010394162629,1.4,113.6,0.01232394366197183
720982,0.25,Optimal,True,,13.491142799990484,12139025.0,10811387.0,11638673.0,11488119.0,0.9463790543309697,1.0,113.6,0.008802816901408451
720982,0.5,Optimal,True,,13.593997899995884,12139025.0,10811387.0,11638673.0,11488119.0,0.9463790543309697,1.0,113.6,0.008802816901408451
720982,1.0,Optimal,True,,13.411619799997425,12139025.0,10811387.0,11551648.0,11401094.0,0.9392100271644551,0.0,113.6,0.0
737579,0.0,Optimal,True,,18.800536299997475,11342113.0,9367886.0,10216840.0,9883604.0,0.8714076468820228,5.3,101.2,0.05237154150197628
737579,0.05,Optimal,True,,18.96871950000059,11342113.0,9367886.0,10200172.0,9866936.0,0.8699380794389899,1.2,101.2,0.011857707509881422
737579,0.1,Optimal,True,,18.653078400006052,11342113.0,9367886.0,10193436.0,9859538.0,0.8692858200231297,0.3,101.2,0.0029644268774703555
