seed,condition,b1_status,b1_cash_planned,b2_status,b2_cash_planned,b3_status,b3_cash_planned,proposed_status,proposed_optimal,proposed_failed_stage,proposed_planned_cash,proposed_initial_realized_cash,proposed_recommended_revised_cash,proposed_final_realized_cash,final_vs_planned_ratio,final_vs_recommended_ratio,consent_coverage_final,reopt_status,conc_status
720982,UJ,Optimal,10304665.0,Optimal,10052153.0,Optimal,9565751.0,,True,,9565751.0,8553601.0,9247755.0,8866462.0,0.926896591809676,0.9587691282911366,1.0,Optimal,Optimal
720982,UM,Optimal,14016504.0,Optimal,13392618.0,Optimal,12730822.0,,True,,12730822.0,11338516.0,12145599.0,11924043.0,0.9366278940982758,0.9817583307336263,1.0,Optimal,Optimal
720982,UP,Optimal,10722932.0,Optimal,10408897.0,Optimal,9894548.0,,True,,9894548.0,8886323.0,9529636.0,9353831.0,0.9453520261865423,0.9815517612634942,1.0,Optimal,Optimal
720982,UR,Optimal,12590535.0,Optimal,12331159.0,Optimal,11730813.0,,True,,11730813.0,10436353.0,11348448.0,11113486.0,0.9473755996280906,0.979295671090884,1.0,Optimal,Optimal
720982,UW,Optimal,12457324.0,Optimal,12069074.0,Optimal,11469021.0,,True,,11469021.0,10207973.0,10788826.0,10613304.0,0.9253888365885806,0.9837311307087536,1.0,Optimal,Optimal
737579,U0,Optimal,12082258.0,Optimal,11936076.0,Optimal,11342113.0,,True,,11342113.0,9367886.0,10200172.0,9866936.0,0.8699380794389899,0.9673303548214677,1.0,Optimal,Optimal
737579,UJ,Optimal,10452850.0,Optimal,10253988.0,Optimal,9741390.0,,True,,9741390.0,7903764.0,8701337.0,8389655.0,0.861237975278682,0.964179987512264,1.0,Optimal,Optimal
737579,UM,Optimal,11529882.0,Optimal,11375522.0,Optimal,10808318.0,,True,,10808318.0,8902686.0,9826423.0,9472974.0,0.8764521917286298,0.9640307566649634,1.0,Optimal,Optimal
737579,UP,Optimal,11192091.0,Optimal,10984958.0,Optimal,10448490.0,,True,,10448490.0,8493166.0,9385151.0,8912480.0,0.8529921548472554,0.949636292479471,1.0,Optimal,Optimal
737579,UR,Optimal,11462783.0,Optimal,11328651.0,Optimal,10781060.0,,True,,10781060.0,8757119.0,9696695.0,9258251.0,0.8587514585764294,0.9547841816206449,1.0,Optimal,Optimal
737579,UW,Optimal,12293861.0,Optimal,12147676.0,Optimal,11566887.0,,True,,11566887.0,9328503.0,10786509.0,10321113.0,0.8922982475751686,0.9568538810842322,1.0,Optimal,Optimal
750647,U0,Optimal,16901932.0,Optimal,16397993.0,Optimal,15586202.0,,True,,15586202.0,12797649.0,14603372.0,14341497.0,0.9201405833185018,0.9820674978354315,1.0,Optimal,Optimal
750647,UJ,Optimal,13679284.0,Optimal,12762202.0,Optimal,12129479.0,,True,,12129479.0,10387243.0,11705017.0,11618263.0,0.9578534247019184,0.9925883063646982,1.0,Optimal,Optimal
750647,UM,Optimal,14654200.0,Optimal,14010842.0,Optimal,13316193.0,,True,,13316193.0,11275966.0,12636328.0,12518283.0,0.940079720983317,0.9906582830075319,1.0,Optimal,Optimal
750647,UP,Optimal,15751678.0,Optimal,15352001.0,Optimal,14593747.0,,True,,14593747.0,12234529.0,14091889.0,13919717.0,0.9538137806555095,0.9877821915855284,1.0,Optimal,Optimal
