seed,n_farmers,b1_status,b1_optimal,b1_cash,b1_runtime_s,b2_status,b2_optimal,b2_cash,b2_runtime_s,b3_status,b3_optimal,b3_cash,b3_runtime_s,proposed_status,proposed_optimal,proposed_failed_stage,proposed_runtime_s,proposed_planned_cash,proposed_initial_realized_cash,proposed_recommended_revised_cash,proposed_final_realized_cash
737579,500,Optimal,True,12082258.0,13.07,Optimal,True,11936076.0,5.26,Optimal,True,11342113.0,0.19,Optimal,True,,18.96871950000059,11342113.0,9367886.0,10200172.0,9866936.0
750647,100,Optimal,True,2116657.0,1.4,Optimal,True,1666889.0,0.09,Optimal,True,1584986.0,0.1,Optimal,True,,3.008137999975588,1584986.0,1369544.0,1450683.0,1397326.0
750647,25,Optimal,True,197385.0,0.32,Optimal,True,197385.0,0.06,Optimal,True,191968.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,0.7715416999999434,,,,
750647,250,Optimal,True,6093382.0,3.51,Optimal,True,5666682.0,0.36,Optimal,True,5396664.0,0.19,Optimal,True,,7.2556363999901805,5396664.0,4577618.0,5097023.0,4989440.0
750647,50,Optimal,True,690745.0,0.6,Optimal,True,690745.0,0.07,Optimal,True,662591.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,1.3380096000037156,,,,
750647,500,Optimal,True,16901932.0,12.93,Optimal,True,16397993.0,0.43,Optimal,True,15586202.0,0.16,Optimal,True,,13.769938199984608,15586202.0,12797649.0,14603372.0,14341497.0
80120,100,Optimal,True,2190215.0,1.11,Optimal,True,1873574.0,0.09,Optimal,True,1825448.0,0.08,Infeasible,False,proposed.reopt_phase3,1.8796799999836367,,,,
80120,25,Optimal,True,1071250.0,0.29,Optimal,True,752514.0,0.07,Optimal,True,731688.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,0.9333009000110906,,,,
80120,250,Optimal,True,6348065.0,3.17,Optimal,True,5847787.0,0.17,Optimal,True,5557761.0,0.1,Optimal,True,,5.908267799997702,5557761.0,4188682.0,4956879.0,4941398.0
80120,50,Optimal,True,1375771.0,0.57,Optimal,True,1132342.0,0.06,Optimal,True,1075995.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,1.2144307999988087,,,,
80120,500,Optimal,True,14300483.0,13.14,Optimal,True,13148064.0,0.55,Optimal,True,12493200.0,0.18,Optimal,True,,12.463165199995274,12493200.0,10522767.0,11656865.0,11486150.0
803466,100,Optimal,True,2936840.0,1.35,Optimal,True,2680953.0,0.2,Optimal,True,2556101.0,0.09,Optimal,True,,3.0232266999955755,2556101.0,1820264.0,2011814.0,1998232.0
803466,25,Optimal,True,905237.0,0.55,Optimal,True,862322.0,0.07,Optimal,True,824773.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,0.9967946999822743,,,,
803466,250,Optimal,True,8358756.0,3.17,Optimal,True,7223419.0,0.33,Optimal,True,6863493.0,0.2,Optimal,True,,6.645268699998269,6863493.0,5588554.0,5868721.0,5653958.0
803466,50,Optimal,True,1674113.0,0.68,Optimal,True,1584093.0,0.1,Optimal,True,1504925.0,0.08,Optimal,True,,1.8934385999746155,1504925.0,1058609.0,991530.0,970390.0
803466,500,Optimal,True,17924836.0,14.38,Optimal,True,16485337.0,0.83,Optimal,True,15661322.0,0.19,Optimal,True,,15.627511700004106,15661322.0,12318682.0,13853897.0,13812434.0
870215,100,Optimal,True,2996427.0,1.25,Optimal,True,2055475.0,0.25,Optimal,True,1956651.0,0.14,Optimal,True,,3.167273099999875,1956651.0,1608159.0,1136259.0,1095696.0
870215,25,Optimal,True,1171663.0,0.44,Optimal,True,855593.0,0.07,Optimal,True,821236.0,0.06,Infeasible,False,proposed.phase4_e_star_alpha,0.8720035000005737,,,,
870215,250,Optimal,True,8186814.0,3.16,Optimal,True,7678646.0,1.62,Optimal,True,7299513.0,0.12,Optimal,True,,8.67429159997846,7299513.0,6434035.0,7015731.0,6996591.0
870215,50,Optimal,True,2076017.0,0.7,Optimal,True,1359187.0,0.09,Optimal,True,1295357.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,1.5114959999918938,,,,
870215,500,Optimal,True,16601235.0,14.27,Optimal,True,16014780.0,0.66,Optimal,True,15214456.0,0.19,Optimal,True,,13.324357799981954,15214456.0,12559908.0,14036264.0,13952455.0
885219,100,Optimal,True,2459619.0,1.4,Optimal,True,2375289.0,0.29,Optimal,True,2263043.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,2.6173062000016216,,,,
885219,25,Optimal,True,600628.0,0.4,Optimal,True,404425.0,0.09,Optimal,True,392546.0,0.09,Infeasible,False,proposed.phase4_e_star_alpha,0.9522514999844134,,,,
885219,250,Optimal,True,6352710.0,3.47,Optimal,True,6352710.0,0.1,Optimal,True,6045912.0,0.1,Optimal,True,,6.7092738000210375,6045912.0,5177899.0,5114836.0,5063025.0
885219,50,Optimal,True,1271613.0,0.59,Optimal,True,1271613.0,0.08,Optimal,True,1217445.0,0.07,Infeasible,False,proposed.phase4_e_star_alpha,1.3915548000077251,,,,
885219,500,Optimal,True,17428939.0,13.39,Optimal,True,17152116.0,0.5,Optimal,True,16331308.0,0.16,Optimal,True,,14.309150699991733,16331308.0,11927901.0,14102694.0,13932943.0
908270,100,Optimal,True,3524290.0,1.05,Optimal,True,3340273.0,0.1,Optimal,True,3214059.0,0.1,Infeasible,False,proposed.phase4_e_star_alpha,2.2339116999937687,,,,
908270,25,Optimal,True,830671.0,0.27,Optimal,True,383548.0,0.05,Optimal,True,366831.0,0.05,Infeasible,False,proposed.phase4_e_star_alpha,0.6873179999820422,,,,
908270,250,Optimal,True,7548325.0,2.95,Optimal,True,7420980.0,0.33,Optimal,True,7066102.0,0.11,Optimal,True,,6.501771999988705,7066102.0,6192221.0,6477531.0,6339673.0
